文献号	是否转让	说明书页数	附图个数	文献引证数	专利引证数	引证本国专利数	引证外国专利数	专利类别	保护期	分类数	IPC大类数	IPC小类数	同族专利数	同族布局国家（地区）数	是否为PCT国际专利申请	是否为五国专利/四方专利	专利国别代码	申请日公开日时间间隔（年）	申请日授权日时间间隔	公开日授权日时间间隔	剩余有效期	是否有优先权	权项数	发明人数	申请人数	专利权人规模	申请人类型
CN201620806861.3	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0.074074074	0	0	1
CN201620405955.X	0	0.013114754	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.040983607	0	0	0	1
CN201620800102.6	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.028688525	0.037037037	0	0	1
CN201620528539.9	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.266666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0.185185185	0	0	1
CN201620772604.2	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.266666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0	0	0	1
CN201620779216.7	0	0.008196721	0.043010753	0	0	0	0	0.5	0	0.266666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0	0	0	0.8
CN201620513355.5	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0.074074074	0	0	1
CN201610225599.8	0	0.018032787	0.032258065	0	0	0	0	1	1	0.133333333	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	1	0.040983607	0.148148148	0	0	1
CN201610225503.8	0	0.021311475	0	0	0.25	0.222222222	0.083333333	1	1	0.2	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.053278689	0.185185185	0	0	1
CN201620349827.8	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.024590164	0	0	0	1
CN201620523530.9	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.024590164	0	0	0	1
CN201620652568.6	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0.148148148	0	0	1
CN201610223115.6	0	0.021311475	0	0	0.416666667	0.444444444	0.083333333	1	1	0.2	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.053278689	0.074074074	0	0	1
CN201620523548.9	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.024590164	0	0	0	1
CN201620454225.9	0	0.008196721	0.075268817	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.008196721	0.074074074	0	0	1
CN201610107107.5	0	0.01147541	0	0.25	0.25	0.222222222	0.083333333	1	1	0.533333333	0.2	0.6	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.028688525	0	0	0	1
CN201620454241.8	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.008196721	0.074074074	0	0	1
CN201620652024.X	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0.148148148	0	0	1
CN201620652569.0	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0.148148148	0	0	1
CN201620455295.6	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.012295082	0.074074074	0	0	1
CN201410757478.9	0	0.045901639	0.107526882	0	0.25	0.333333333	0	1	1	0.4	0.2	0.4	0	0	0	0	0	0.222222222	0.333333333	0.4	0.785714286	0	0.040983607	0.074074074	0	0	1
CN201620651968.5	0	0.006557377	0.032258065	0	0	0	0	0.5	0	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0.148148148	0	0	1
CN201610107113.0	0	0.01147541	0	0.25	0.25	0.222222222	0.083333333	1	1	0.2	0.2	0.4	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.028688525	0	0	0	1
CN201620356187.3	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.024590164	0	0	0	1
CN201620651967.0	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0.148148148	0	0	1
CN201620356066.9	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.024590164	0	0	0	1
CN201610130232.8	0	0.008196721	0	0	0.416666667	0.444444444	0.083333333	1	1	0	0	0	0	0	0	0	0	0	0.083333333	0.2	0.928571429	0	0.024590164	0.074074074	0.333333333	0.333333333	1
CN201610207972.7	0	0.018032787	0.032258065	0	0.416666667	0.555555556	0	1	1	0.066666667	0	0	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.028688525	0.037037037	0	0	0.8
CN201620572657.X	0	0.016393443	0.053763441	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0	0	0	1
CN201610045239.X	0	0.014754098	0.086021505	0.25	0.25	0.222222222	0.083333333	1	1	0.2	0.2	0.2	0	0	0	0	0	0	0.25	0.4	0.928571429	0	0.028688525	0.222222222	0	0	0.8
CN201620374481.7	0	0.009836066	0.053763441	0	0	0	0	0.5	0	0.2	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.008196721	0.074074074	0	0	1
CN201620523549.3	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.028688525	0	0	0	1
CN201620554341.8	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.008196721	0.185185185	0	0	1
CN201610094158.9	0	0.01147541	0	0.25	0.25	0.222222222	0.083333333	1	1	0.133333333	0	0.2	0	0	0	0	0	0	0.25	0.4	0.928571429	0	0.024590164	0.074074074	0	0	1
CN201620405856.1	0	0.013114754	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.045081967	0	0	0	1
CN201620405873.5	0	0.01147541	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.036885246	0	0	0	1
CN201620516937.9	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0.074074074	0	0	0.8
CN201620405750.1	0	0.01147541	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0	0	0	1
CN201620405726.8	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0	0	0	1
CN201620405472.X	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0	0	0	1
CN201620259875.8	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0	0	0	1
CN201620259921.4	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.2	0.2	0.4	0	0	0	0	0	0	0	0	0.214285714	0	0.024590164	0	0	0	1
CN201620334124.8	0	0.01147541	0.043010753	0	0	0	0	0.5	0	0.133333333	0	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0	0	0	1
CN201620285727.3	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.008196721	0	0	0	1
CN201620209146.1	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.266666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0	0	0	1
CN201510945981.1	0	0.008196721	0	0.625	0.333333333	0.444444444	0	1	1	0.2	0.2	0.2	0	0	0	0	0	0	0.25	0.4	0.857142857	0	0.032786885	0.037037037	0	0	0.8
CN201510945761.9	0	0.009836066	0.010752688	0.5	0.416666667	0.555555556	0	1	1	0.2	0.2	0.2	0	0	0	0	0	0	0.166666667	0.4	0.857142857	0	0.032786885	0.037037037	0	0	0.8
CN201620318287.7	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0.111111111	0	0	1
CN201620209147.6	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.008196721	0	0	0	1
CN201620010963.4	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0	0	0	1
CN201620209148.0	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.008196721	0	0	0	1
CN201620186173.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.028688525	0.111111111	0	0	1
CN201620240561.3	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0.222222222	0	0	0.6
CN201620209156.5	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.266666667	0.2	0.4	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0	0	0	1
CN201620123255.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.012295082	0	0	0	1
CN201620290523.9	0	0.009836066	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0.111111111	0	0	1
CN201620169825.0	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.028688525	0.074074074	0	0	1
CN201620255423.2	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0.111111111	0	0	1
CN201510945763.8	0	0.009836066	0.010752688	0.625	0.416666667	0.555555556	0	1	1	0.2	0.2	0.2	0	0	0	0	0	0	0.166666667	0.4	0.857142857	0	0.032786885	0.037037037	0	0	0.8
CN201620209152.7	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0	0	0	1
CN201620187310.3	0	0.013114754	0.053763441	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0.296296296	0	0	1
CN201620252329.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0.111111111	0	0	1
CN201620209157.X	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0	0	0	1
CN201620209153.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.024590164	0	0	0	1
CN201620209150.8	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.008196721	0	0	0	1
CN201510715996.9	0	0.008196721	0	0	0.333333333	0.333333333	0.083333333	1	1	0	0	0	0	0	0	0	0	0	0.083333333	0.2	0.857142857	0	0.036885246	0.074074074	0	0	1
CN201510937032.9	0	0.019672131	0	0.625	0.083333333	0.111111111	0	1	1	0.066666667	0.2	0.2	0	0	0	0	0	0	0.25	0.4	0.857142857	0	0.040983607	0.296296296	0	0	1
CN201620254520.X	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0.111111111	0	0	1
CN201521056904.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.016393443	0.111111111	0	0	1
CN201620252550.7	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0.111111111	0	0	1
CN201520698899.9	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.008196721	0.111111111	0	0	1
CN201610061248.8	0	0.014754098	0.021505376	0.25	0.5	0.333333333	0.25	1	1	0.066666667	0	0	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.040983607	0.074074074	0	0	1
CN201520631568.3	0	0.01147541	0.064516129	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.040983607	0.111111111	0	0	1
CN201520631365.4	0	0.01147541	0.053763441	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.040983607	0.111111111	0	0	1
CN201520631210.0	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.040983607	0.111111111	0	0	1
CN201620264221.4	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0	0	0	0.6
CN201510764619.4	0	0.031147541	0	0.5	0.5	0.666666667	0	1	1	0.133333333	0	0	0	0	0	0	0	0	0.166666667	0.2	0.857142857	0	0.036885246	0.037037037	0.666666667	0.666666667	1
CN201620145720.1	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0	0	0	0.6
CN201420719565.0	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.222222222	0.166666667	0	0.071428571	0	0.028688525	0.148148148	0	0	1
CN201620208993.6	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.036885246	0.111111111	0	0	1
CN201620208990.2	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0.111111111	0	0	1
CN201620180605.8	0	0.013114754	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.032786885	0	0	0	1
CN201620137718.X	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0.037037037	0	0	1
CN201620137707.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0.037037037	0	0	1
CN201510717053.X	0	0.008196721	0	0.25	0.25	0.222222222	0.083333333	1	1	0	0	0	0	0	0	0	0	0	0.083333333	0.2	0.857142857	0	0.040983607	0.074074074	0	0	1
CN201620208979.6	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.036885246	0.111111111	0	0	1
CN201620057655.7	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0.037037037	0	0	1
CN201510696754.X	0	0.02295082	0.150537634	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.2	0.857142857	0	0.028688525	0.148148148	0	0	1
CN201620119794.8	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.028688525	0.074074074	0	0	1
CN201620010971.9	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0	0	0	1
CN201620010965.3	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0	0	0	1
CN201620010969.1	0	0.006557377	0.032258065	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0	0	0	1
CN201410339428.9	0	0.013114754	0	0.25	0.416666667	0.444444444	0.083333333	1	1	0.2	0.2	0.2	0	0	0	0	0	0.222222222	0.333333333	0.4	0.785714286	0	0.040983607	0.259259259	0	0	1
CN201410228792.8	0	0.008196721	0	0.125	0.416666667	0.444444444	0.083333333	1	1	0	0	0	0	0	0	0	0	0.222222222	0.333333333	0.4	0.785714286	0	0.032786885	0.037037037	0	0	1
CN201410373562.0	0	0.014754098	0.010752688	0	0.25	0.333333333	0	1	1	0.133333333	0	0	0	0	0	0	0	0.222222222	0.333333333	0.4	0.785714286	0	0.036885246	0.111111111	0	0	1
CN201521127827.5	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.012295082	0.185185185	0	0	1
CN201521135766.7	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.020491803	0.185185185	0	0	1
CN201521128085.8	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.012295082	0.185185185	0	0	1
CN201521139542.3	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.012295082	0.185185185	0	0	1
CN201521056914.6	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.016393443	0.111111111	0	0	1
CN201521056895.7	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.020491803	0.111111111	0	0	1
CN201521056913.1	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.016393443	0.111111111	0	0	1
CN201521056916.5	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0	0	0	0.142857143	0	0.016393443	0.111111111	0	0	1
CN201521056901.9	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0	0	0	0.142857143	0	0.016393443	0.111111111	0	0	1
CN201620010962.X	0	0.006557377	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0	0	0	1
CN201521034243.3	0	0.01147541	0.064516129	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.032786885	0.111111111	0	0	1
CN201520737247.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.016393443	0	0.333333333	0.333333333	1
CN201520882264.4	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.040983607	0.037037037	0	0	1
CN201520882249.X	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.040983607	0	0	0	1
CN201410406527.4	0	0.031147541	0.021505376	0	0	0	0	1	1	0.133333333	0	0	0	0	0	0	0	0.111111111	0.166666667	0.2	0.785714286	0	0.040983607	0.074074074	0	0	0.6
CN201510683847.9	0	0.013114754	0.021505376	0.25	0.25	0.222222222	0.083333333	1	1	0.133333333	0	0	0	0	0	0	0	0	0.083333333	0.2	0.857142857	0	0.040983607	0.111111111	0	0	1
CN201521058960.X	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0	0	0	0.142857143	0	0.020491803	0.148148148	0	0	1
CN201521004720.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.012295082	0.148148148	0	0	1
CN201520867482.0	0	0.006557377	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.012295082	0.037037037	0	0	1
CN201520782026.6	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.040983607	0.037037037	0	0	1
CN201520867702.X	0	0.006557377	0.032258065	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.020491803	0.037037037	0	0	1
CN201521016738.3	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.020491803	0.037037037	0	0	1
CN201521016624.9	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.020491803	0.037037037	0	0	1
CN201521015577.6	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.020491803	0.037037037	0	0	1
CN201610035314.4	0	0.02295082	0.064516129	0.25	0.5	0.555555556	0.083333333	1	1	0.2	0.2	0.2	0	0	0	0	0	0.111111111	0.25	0.4	0.928571429	0	0.040983607	0	0	0	1
CN201510795884.9	0	0.013114754	0.053763441	0	0.416666667	0.444444444	0.083333333	1	1	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.166666667	0.2	0.857142857	0	0.040983607	0	0	0	1
CN201520886935.4	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.024590164	0.037037037	0	0	1
CN201510796013.9	0	0.018032787	0.086021505	0	0.5	0.555555556	0.083333333	1	1	0.133333333	0	0	0	0	0	0	0	0.111111111	0.166666667	0.2	0.857142857	0	0.040983607	0	0	0	1
CN201520892035.0	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0	0	0	1
CN201520891694.2	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0	0	0	1
CN201520893039.0	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0	0	0	1
CN201520893038.6	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0	0	0	1
CN201520892120.7	0	0.008196721	0.053763441	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.016393443	0	0	0	1
CN201520893364.7	0	0.004918033	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0	0	0	1
CN201520891695.7	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0	0	0	1
CN201520891701.9	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0	0	0	1
CN201520803193.4	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.032786885	0.037037037	0	0	1
CN201520782027.0	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.028688525	0.037037037	0	0	1
CN201610578345.4	0	0.008196721	0.021505376	0	0.666666667	0.444444444	0.333333333	1	1	0.266666667	0.2	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.004098361	0	0	0	1
CN201610817706.6	0	0.019672131	0.053763441	0.5	0.083333333	0.111111111	0	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.040983607	0.037037037	0	0	0.8
CN201520899149.8	0	0.018032787	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.004098361	0.259259259	0	0	1
CN201520770244.8	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.020491803	0.111111111	0	0	1
CN201520890789.2	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.036885246	0.037037037	0	0	1
CN201520890735.6	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.032786885	0.111111111	0	0	1
CN201520890647.6	0	0.01147541	0.064516129	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.040983607	0.037037037	0	0	1
CN201520890814.7	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.032786885	0.037037037	0	0	1
CN201520890676.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.036885246	0.037037037	0	0	1
CN201520891179.4	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.032786885	0.037037037	0	0	1
CN201520891098.4	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.028688525	0.111111111	0	0	1
CN201520831357.4	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.142857143	0	0.008196721	0.185185185	0	0	1
CN201520887092.X	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.040983607	0	0	0	1
CN201520882370.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.016393443	0.037037037	0	0	1
CN201610613736.5	0	0.01147541	0	0	0	0	0	1	1	0.533333333	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.036885246	0.074074074	0	0	1
CN201610412169.7	0	0.018032787	0.043010753	0.375	0.25	0.333333333	0	1	1	0.8	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.024590164	0.074074074	0	0	1
CN201520753253.6	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.040983607	0	0	0	1
CN201520781525.3	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.142857143	0	0.028688525	0	0	0	1
